Sample	Superpopulation
HG01123	AMR
HG01258	AMR
HG01358	AMR
HG01361	AMR
HG01891	AFR
HG02257	AFR
HG02486	AFR
HG02559	AFR
HG02572	AFR
HG03516	AFR
HG00438	EAS
HG00621	EAS
HG00673	EAS
HG00735	AMR
HG00741	AMR
HG01071	AMR
HG01106	AMR
HG01175	AMR
HG01928	AMR
HG01952	AMR
HG01978	AMR
HG02148	AMR
HG02622	AFR
HG02630	AFR
HG02717	AFR
HG02886	AFR
HG03453	AFR
HG03540	AFR
HG03579	AFR
HG00733	AMR
HG01109	AMR
HG01243	AMR
HG02080	EAS
HG02109	AFR
HG02145	AFR
HG02723	AFR
HG02818	AFR
HG03486	AFR
HG03492	SAS
NA18906	AFR
NA19240	AFR
NA20129	AFR
HG02055	AFR
HG03098	AFR
